Tweet_count,Username,Text,Created_At,Retweets,Likes
122,scubaryan_,Kai Cenat doing the viral “Tyranno dance” from TikTok 😭😭 https://t.co/jvaFEkqAE9,Sat Mar 08 21:16:50 +0000 2025,63,2839
123,FittsBryce,Kai Cenat doing a dance challenge to your song is crazy,Thu Mar 06 02:42:35 +0000 2025,1,20
124,VibeMagazine,Kai Cenat Sparks Explosive Debate With Stephen A. Smith In Defense Of LeBron James https://t.co/DrABErrTL5,Thu Mar 06 21:43:54 +0000 2025,2,6
125,Russ_Dorsey1,"The sports media landscape is truly fascinating. Honestly, I could talk about it for hours. 

I love what Kai Cenat has built for himself, so this is less about him and more about our industry as a whole.",Fri Mar 07 00:50:11 +0000 2025,0,9
126,Agtesnx,@scubaryan_ Can’t wait till I see the nigga on the streets with a sign saying “Kai cenat made me hopeless”,Fri Mar 07 03:06:10 +0000 2025,1,15
127,_TrendsWave_,everyone started laughing at Kai Cenat after he failed this arcade game 2 times in a row 😭 https://t.co/3KLQvhtmrU,Tue Mar 11 15:55:51 +0000 2025,4,4
128,ose_bpm,this stereotype is lame. one of the most famous streamers in the world is speed and he just makes noise and does outlandish stuff. the hawk tuah babe too . Kai Cenat doesn’t do educational or enlightening content either. there is a market for fooling across the world. ALLOW,Sat Mar 08 10:00:49 +0000 2025,3,28
129,twin_abena,"Kai cenat scores 
assist by speed 
 this sidemen match is entertaining 😂😂 nice 👏🔥",Sat Mar 08 16:47:59 +0000 2025,8,37
130,32Bound23,Kai cenat ruined my life,Tue Mar 04 06:15:20 +0000 2025,0,19
131,milkeyedsoul,you deserve skin cancer if you're stupid enough to buy kai cenat's skincare products,Wed Mar 12 10:05:40 +0000 2025,0,19
132,NoodleHairCR7,"Speed with a world class assist to Kai Cenat for his goal

https://t.co/d8mrepHQHw",Sat Mar 08 17:30:28 +0000 2025,1,30
133,agentkou,thinking back when i met kai cenat😭 nigga short fr https://t.co/Yo7EMMXRWv,Thu Mar 06 16:00:22 +0000 2025,0,55
134,WeeklyAudible,"They canned other shows, let good analysts go, just to pay him. 

And bring Kai Cenat on TV to discuss sports.",Thu Mar 06 22:54:10 +0000 2025,0,3
135,grenadepin,jts Them.... the Satou Family https://t.co/UANRX132IQ,Sun Mar 09 21:08:02 +0000 2025,11,16
136,VentItMedia,IShowSpeed assisted Kai Cenat for a goaaaaaal 🔥 #SidemenCharityMatch https://t.co/ov6Yh7ixdF,Sat Mar 08 16:48:47 +0000 2025,5,39
137,Aidanclipss,IShowSpeed FARTED in a girls face right in front of Adin Ross and Kai Cenat😂🤣😭 https://t.co/iTjnndYVEg,Mon Mar 10 21:00:39 +0000 2025,74,1193
138,JakeSucky,Kai Cenat shouts out Summit1g on The Tonight Show as his inspiration for starting streaming on Twitch https://t.co/739U4Ie8RE,Thu Mar 06 15:16:06 +0000 2025,112,6463
139,lobotomiiii,"everything about this tweet is killing me, kai cenat skincare.... the stake ad...",Wed Mar 12 18:00:11 +0000 2025,0,12
140,shaderoomteens,"Kai Cenat and iShowSpeed were putting in work at the Sidemen Charity Match today, helping their team secure the victory! ⚽️🔥 (📸: @gettyimages) ✍🏽: #TSRStaffKH) https://t.co/LOWLh2H4LS",Sat Mar 08 20:39:26 +0000 2025,0,3
141,LifeKindaBlows,"I guess mrbeast, kai cenat, ishowspeed, fanum, and the sidemen are all just random nobodies???",Sun Mar 09 01:08:24 +0000 2025,0,7
142,Lucky_DLK,Never forget when Fanum taxed John cena and Kai cenat for  McDonald's 🤣🤣 https://t.co/Xmfvjz1Iuv,Fri Mar 07 20:39:19 +0000 2025,5,62
143,KaiCenatHQ,TB to when Speed &amp; Kai couldn't hold it together when this guy started singing during his audition 😂 https://t.co/15KhLN0DeF,Fri Mar 07 15:03:13 +0000 2025,0,8
144,grenadepin,i was Considering killing myself but i rsmembered i have a kai account to run and i need to see the end of avemuji first https://t.co/MYh0xLm8og,Fri Mar 07 00:45:15 +0000 2025,0,9
